final_item,final_panels,public_script_or_source,notes
Figure 1,A-G,figures/Figure1.R and figures/build_figure1_pptx.py,Global cfRNA characterization and sequencing quality-control panels.
Figure 2,A-E,figures/Figure2.R and figures/build_figure2_pptx.py,Stable non-DEG workflow and pathway analysis in euploid embryos.
Figure 3,A-C,figures/Figure3.R,Final Figure 3 uses the DEG proportion and GO:BP up/downregulated panels generated by Figure3.R.
Figure 4,A-B,figures/Figure4.R,Final-numbered wrapper for the GSEA and NMD/apoptosis panels generated by the shared Figure3.R script.
Figure 5,A-D,figures/Figure5.R,Final-numbered wrapper for spent-medium cfRNA pathway and marker panels generated by Figure5_panels.R.
Figure 6,A-D,figures/Figure6.R,Final-numbered wrapper for stable lncRNA-associated release-signature panels generated by Figure6_7_panels.R.
Figure 7,single panel,figures/Figure7.R,Final-numbered wrapper for the lncRNA-mRNA chord diagram generated by Figure6_7_panels.R; the final standalone figure does not require a panel letter.
Figure 8,A-D,figures/Figure8.R,Mouse CQ and CB perturbation analyses. This script is the final-numbered public version of the mouse perturbation figure script.
Extended Data Figure 1,A-F,figures/ExtendedDataFigure1.R,First part of sequencing quality-control and subsampling analyses.
Extended Data Figure 2,A-C,figures/ExtendedDataFigure1.R and figures/ExtendedDataFigure2.R,Second part of quality-control and DEG-overlap analyses after final single-page reorganization.
Extended Data Figure 3,A-B,figures/ExtendedDataFigure2.R,KEGG and GO:BP overlap analyses after final single-page reorganization.
Extended Data Figure 4,A-C,figures/ExtendedDataFigure2.R,Additional enrichment and representative-gene analyses after final single-page reorganization.
Extended Data Figure 5,A-B,figures/ExtendedDataFigure3.R,Distribution and Reactome enrichment analyses after final single-page reorganization.
Extended Data Figure 6,single panel,figures/ExtendedDataFigure3.R,Reactome downregulated-term panel after final single-page reorganization.
Extended Data Figure 7,A-B,figures/ExtendedDataFigure3.R,Reactome GSEA and running-score plot after final single-page reorganization.
Extended Data Figure 8,A-B,figures/ExtendedDataFigure4.R,KEGG and vesicle heatmap panels after final single-page reorganization.
Extended Data Figure 9,single panel,figures/ExtendedDataFigure4.R,Vesicle-associated lncRNA-mRNA chord diagram after final single-page reorganization.
