file_stem,sheet_name,source_figure,source_panel,description
Figure3D_GSEA_GO_BP_terms,Fig4A_GSEA_GO_BP_terms,Figure 4,A,GO biological process GSEA terms for AWE versus ASM.
Figure3E_NMD_Apoptosis_values,Fig4B_NMD_apop_values,Figure 4,B_values,Sample-level expression values for representative NMD and apoptosis genes.
Figure3E_NMD_Apoptosis_statistics,Fig4B_NMD_apop_stats,Figure 4,B_statistics,Wilcoxon rank-sum test outputs for representative NMD and apoptosis genes.
Figure4A_GSEA_GO_BP_ESMvsASM_terms,Fig5A_GSEA_GO_BP_terms,Figure 5,A,GO biological process GSEA terms for ESM versus ASM.
Figure4B_Representative_Gene_values,Fig5B_gene_values,Figure 5,B_values,Sample-level expression values for representative RNA transport and metabolism genes.
Figure4B_Representative_Gene_statistics,Fig5B_gene_stats,Figure 5,B_statistics,Wilcoxon rank-sum test outputs for representative RNA transport and metabolism genes.
Figure4C_ExosomeMarker_values,Fig5C_marker_values,Figure 5,C_values,Sample-level expression values for exosome marker genes in spent medium.
Figure4C_ExosomeMarker_statistics,Fig5C_marker_stats,Figure 5,C_statistics,Wilcoxon rank-sum test outputs for exosome marker genes in spent medium.
Figure4D_ssGSEA_values,Fig5D_ssGSEA_values,Figure 5,D_values,Sample-level ssGSEA pathway scores for ESM and ASM.
Figure4D_ssGSEA_statistics,Fig5D_ssGSEA_stats,Figure 5,D_statistics,Wilcoxon rank-sum test outputs for ssGSEA pathway scores.
Figure4D_ssGSEA_gene_sets,Fig5D_ssGSEA_gene_sets,Figure 5,D_gene_sets,GO gene sets used for ssGSEA pathway scoring.
Figure5A_nonDEG_CV_intersections,Fig6A_nonDEG_intersections,Figure 6,A_intersections,Intersection sizes for non-DEG CV < 1.0 sets.
Figure5A_nonDEG_CV_membership,Fig6A_nonDEG_membership,Figure 6,A_membership,Gene-level membership of non-DEG CV < 1.0 sets.
Figure5B_biotype_counts,Fig6B_biotype_counts,Figure 6,B_biotype_counts,Biotype composition of common non-DEG genes with CV < 1.0.
Figure5B_gene_biotypes,Fig6B_gene_biotypes,Figure 6,B_gene_biotypes,Gene-level biotype annotations for common non-DEG genes.
Figure5C_GO_BP_enrichment_terms,Fig6C_GO_BP_terms,Figure 6,C,GO biological process enrichment terms for mRNAs co-expressed with lncRNAs.
Figure5D_autophagy_heatmap_expression,Fig6D_heatmap_expression,Figure 6,D_expression,Expression matrix used for the autophagy-related release heatmap.
